"","Player","Country.x","Bat_pc1","Country.y","Ball_pc1"
"1","A Balbirnie","Overseas",8.21622873162226,"Overseas",NA
"2","A Ndlovu","Overseas",-2.44913648785578,"Overseas",-2.72008119131584
"3","A Nortje","Overseas",-2.24790419546894,"Overseas",1.71768980904908
"4","A Sharafu","Overseas",-2.8793070981336,"Overseas",NA
"5","A Zampa","Overseas",-2.84902653582842,"Overseas",2.74993414035078
"6","AC Agar","Overseas",-1.56003620743025,"Overseas",-0.293860287650452
"7","AC Evans","Overseas",-2.65111551296656,"Overseas",-3.35540560755635
"8","AD Hales","Overseas",5.12883091383586,"Overseas",NA
"9","AF Milne","Overseas",-2.79462767116421,"Overseas",-2.21263316332657
"10","AJ Finch","Overseas",6.67596883534877,"Overseas",NA
"11","AJ Hosein","Overseas",-0.220207048441434,"Overseas",4.83318606313057
"12","AK Markram","Overseas",2.45533130278046,"Overseas",-2.84289302235889
"13","AL Phehlukwayo","Overseas",-2.25519127643547,"Overseas",-1.65378321094958
"14","AM Fernando","Overseas",-2.46864781694112,"Overseas",-2.00477370520889
"15","AR McBrine","Overseas",-1.16351950349308,"Overseas",0.971004259854914
"16","AR Patel","Local",-0.612531492383612,"Local",5.02767560184567
"17","AS Joseph","Overseas",-2.09067800069945,"Overseas",1.89287668692928
"18","AT Nidamanuru","Overseas",-1.98976854584521,"Overseas",NA
"19","AU Rashid","Overseas",-1.92022715616977,"Overseas",7.54182150773093
"20","Aamer Jamal","Overseas",-2.62612634814218,"Overseas",-2.98786637894427
"21","Aaron Jones","Overseas",-0.88246316345211,"Overseas",-2.45195256451061
"22","Aayan Afzal Khan","Overseas",-1.57512348786716,"Overseas",-1.63899234470286
"23","Afif Hossain","Overseas",6.44759260806633,"Overseas",-2.92289686089217
"24","Afsar Zazai","Overseas",-2.05273303762541,"Overseas",NA
"25","Ahmed Raza","Overseas",-2.75296318309871,"Overseas",0.114155437708394
"26","Anamul Haque","Overseas",-1.01000865777343,"Overseas",NA
"27","Arshdeep Singh","Local",-2.75443221097023,"Local",7.08781071984948
"28","Aryan Lakra","Overseas",-1.74349457418934,"Overseas",-2.78093845321883
"29","Asif Ali","Overseas",0.261185713540349,"Overseas",NA
"30","Avesh Khan","Local",-2.45237365403363,"Local",3.75157787852127
"31","Azmatullah Omarzai","Overseas",-0.325827105568668,"Overseas",1.20320148757481
"32","B Evans","Overseas",-1.63784100184252,"Overseas",-0.744108853754194
"33","B Fernando","Overseas",-3.06809449469865,"Overseas",-0.477886593139804
"34","B Kumar","Local",-2.47623272711344,"Local",10.3238401709072
"35","B Mavuta","Overseas",-2.96818783593466,"Overseas",-2.07394781495542
"36","B Muzarabani","Overseas",-2.92195617572455,"Overseas",3.38511168081865
"37","BA King","Overseas",5.446734392618,"Overseas",NA
"38","BA Stokes","Overseas",0.427693393194223,"Overseas",-0.327732343053938
"39","BFW de Leede","Overseas",5.0312593637086,"Overseas",2.97918750374438
