"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"1","A Balbirnie",2022,221,144,30,1,56,31,617,450,26,27,75,375,23.7307692307692,284,"Overseas",1
"2","A Ndlovu",2022,16,7,2,0,3,0,23,28,0,2,13,111.111111111111,11.5,0,"Overseas",1
"3","A Nortje",2022,8,4,0,0,1,0,8,10,3,5,4,400,2.66666666666667,0,"Overseas",1
"4","A Sharafu",2022,1,2,1,0,0,0,4,3,1,1,4,133.333333333333,4,4,"Overseas",1
"5","A Zampa",2022,6,3,0,0,0,0,3,8,1,3,2,100,3,7,"Overseas",1
"6","AC Agar",2022,26,15,3,0,4,1,43,46,3,4,26,200,14.3333333333333,47,"Overseas",1
"7","AC Evans",2022,3,0,2,0,1,0,8,4,1,1,8,200,8,0,"Overseas",1
"8","AD Hales",2022,121,95,18,3,50,15,430,282,13,14,86,250,33.0769230769231,270,"Overseas",1
"9","AF Milne",2022,5,0,0,0,0,1,6,4,1,1,6,150,6,0,"Overseas",1
"10","AJ Finch",2022,184,144,41,3,45,12,490,406,16,18,63,206.666666666667,30.625,338,"Overseas",1
"11","AJ Hosein",2022,44,32,7,0,8,7,120,91,5,8,44,258.823529411765,24,21,"Overseas",1
"12","AK Markram",2022,68,78,16,1,28,11,301,199,8,9,56,300,37.625,129,"Overseas",1
"13","AL Phehlukwayo",2022,5,8,1,0,3,0,22,16,1,1,22,137.5,22,0,"Overseas",1
"14","AM Fernando",2022,1,0,1,0,2,0,10,6,0,1,10,333.333333333333,10,4,"Overseas",1
"15","AR McBrine",2022,12,26,2,0,5,4,74,45,5,6,36,250,14.8,28,"Overseas",1
"16","AR Patel",2022,32,25,5,0,10,3,93,62,8,12,20,250,11.625,50,"Local",1
"17","AS Joseph",2022,21,13,1,0,2,1,29,36,2,5,11,137.5,14.5,0,"Overseas",1
"18","AT Nidamanuru",2022,24,14,3,0,1,1,39,49,3,3,21,90,13,12,"Overseas",1
"19","AU Rashid",2022,14,15,2,0,3,0,31,27,5,7,22,150,6.2,3,"Overseas",1
"20","Aamer Jamal",2022,1,4,1,0,1,0,10,6,1,1,10,166.666666666667,10,7,"Overseas",1
"21","Aaron Jones",2022,33,35,5,1,6,1,78,77,5,5,38,131.034482758621,15.6,40,"Overseas",1
"22","Aayan Afzal Khan",2022,18,16,7,1,4,0,49,43,3,3,25,156.25,16.3333333333333,0,"Overseas",1
"23","Afif Hossain",2022,144,176,44,4,35,14,499,396,16,20,77,200,31.1875,171,"Overseas",1
