"","Player","Year","bowler_Dots","bowler_Singles","bowler_Twos","bowler_Threes","bowler_Fours","bowler_Sixes","Bowler_wickets","Bowler_Matches","Total_wides","Total_noballs","Total_overs","Total_runs_conceded","Bowler_min_econ_rate","Bowler_wining_balls","Country","Bowler_status"
"1","A Dutt",2022,10,12,1,0,0,1,1,1,0,0,4,20,5,24,"Overseas",1
"2","A Ndlovu",2022,18,15,2,0,6,2,1,3,1,0,8.33333333333333,68,5.33333333333333,0,"Overseas",1
"3","A Nortje",2022,100,67,13,0,26,16,19,11,3,2,38,311,2.5,107,"Overseas",1
"4","A Zampa",2022,86,158,16,2,23,14,17,13,5,0,49.8333333333333,363,4.32,196,"Overseas",1
"5","AC Agar",2022,59,90,14,1,4,2,8,7,2,0,28.3333333333333,147,3.36,122,"Overseas",1
"6","AC Evans",2022,6,7,2,0,7,4,1,1,2,0,4.33333333333333,62,14.3076923076923,0,"Overseas",1
"7","AF Milne",2022,27,23,6,0,5,2,3,3,4,0,10.6666666666667,71,5.53846153846154,37,"Overseas",1
"8","AJ Hosein",2022,156,184,29,0,30,19,19,18,8,4,70,482,3.36,191,"Overseas",1
"9","AK Markram",2022,7,21,1,0,0,2,2,4,1,0,5.16666666666667,35,5,12,"Overseas",1
"10","AL Phehlukwayo",2022,19,34,3,0,8,9,5,3,7,0,12.1666666666667,125,5.75,46,"Overseas",1
"11","AM Fernando",2022,17,18,7,1,10,7,3,3,0,0,10,113,8.5,60,"Overseas",1
"12","AR McBrine",2022,64,116,10,1,10,12,10,12,3,0,39.6666666666667,290,3.25,120,"Overseas",1
"13","AR Patel",2022,144,140,21,2,40,26,23,21,6,0,55,441,3.84,289,"Local",1
"14","AS Joseph",2022,88,102,18,2,25,12,17,10,7,0,45.3333333333333,316,4,72,"Overseas",1
"15","AU Rashid",2022,152,265,48,4,25,32,22,23,4,0,87.6666666666667,653,4,322,"Overseas",1
"16","Aamer Jamal",2022,7,10,1,0,5,2,1,2,1,0,4.16666666666667,43,6,13,"Overseas",1
"17","Aaron Jones",2022,8,17,5,1,3,5,3,4,1,0,5.16666666666667,64,7.5,20,"Overseas",1
"18","Aayan Afzal Khan",2022,38,39,3,2,6,2,6,5,0,0,15,87,3.5,12,"Overseas",1
"19","Afif Hossain",2022,8,11,0,0,4,2,2,4,1,0,4.16666666666667,39,6,6,"Overseas",1
"20","Ahmed Raza",2022,52,82,8,1,14,8,7,10,4,0,27.6666666666667,209,4.56,130,"Overseas",1
