"","terms","value","component","id"
"1","bowler_Dots",0.300544434600084,"PC1","pca_ik2fF"
"2","bowler_Singles",0.29787103033532,"PC1","pca_ik2fF"
"3","bowler_Twos",0.291716072578452,"PC1","pca_ik2fF"
"4","bowler_Threes",0.202897327302989,"PC1","pca_ik2fF"
"5","bowler_Fours",0.286968741536799,"PC1","pca_ik2fF"
"6","bowler_Sixes",0.26031278694348,"PC1","pca_ik2fF"
"7","Bowler_wickets",0.293167161737395,"PC1","pca_ik2fF"
"8","Bowler_Matches",0.300903357163152,"PC1","pca_ik2fF"
"9","Total_wides",0.249039519365171,"PC1","pca_ik2fF"
"10","Total_noballs",0.0955551433327022,"PC1","pca_ik2fF"
"11","Total_overs",0.306801795640106,"PC1","pca_ik2fF"
"12","Total_runs_conceded",0.304556895430174,"PC1","pca_ik2fF"
"13","Bowler_min_econ_rate",-0.164312466168398,"PC1","pca_ik2fF"
"14","Bowler_wining_balls",0.288174218882464,"PC1","pca_ik2fF"
"15","bowler_Dots",-0.0427292689082717,"PC2","pca_ik2fF"
"16","bowler_Singles",-0.0976625930766454,"PC2","pca_ik2fF"
"17","bowler_Twos",0.00191663136618479,"PC2","pca_ik2fF"
"18","bowler_Threes",0.0481212592353822,"PC2","pca_ik2fF"
"19","bowler_Fours",0.138900034556389,"PC2","pca_ik2fF"
"20","bowler_Sixes",-0.00641557933213113,"PC2","pca_ik2fF"
"21","Bowler_wickets",-0.0396033207968955,"PC2","pca_ik2fF"
"22","Bowler_Matches",-0.097882661850844,"PC2","pca_ik2fF"
"23","Total_wides",0.238243865501051,"PC2","pca_ik2fF"
"24","Total_noballs",0.833888470542563,"PC2","pca_ik2fF"
"25","Total_overs",-0.0495845755830063,"PC2","pca_ik2fF"
"26","Total_runs_conceded",0.0162608485977971,"PC2","pca_ik2fF"
"27","Bowler_min_econ_rate",0.441968266199459,"PC2","pca_ik2fF"
"28","Bowler_wining_balls",-0.0751263352354867,"PC2","pca_ik2fF"
"29","bowler_Dots",0.026654475210969,"PC3","pca_ik2fF"
"30","bowler_Singles",-0.0894915639680066,"PC3","pca_ik2fF"
"31","bowler_Twos",-0.0330546356953044,"PC3","pca_ik2fF"
"32","bowler_Threes",0.477658075326114,"PC3","pca_ik2fF"
"33","bowler_Fours",-0.0598539645193581,"PC3","pca_ik2fF"
"34","bowler_Sixes",-0.375091700781867,"PC3","pca_ik2fF"
"35","Bowler_wickets",-0.0260882145448108,"PC3","pca_ik2fF"
"36","Bowler_Matches",-0.033142861731704,"PC3","pca_ik2fF"
"37","Total_wides",-0.0564779139423552,"PC3","pca_ik2fF"
"38","Total_noballs",0.342459057751036,"PC3","pca_ik2fF"
"39","Total_overs",-0.0512480673601372,"PC3","pca_ik2fF"
"40","Total_runs_conceded",-0.140361642331359,"PC3","pca_ik2fF"
