"","terms","value","component","id"
"1","Dots",-0.291515404273592,"PC1","pca_qt6i0"
"2","Singles",-0.293019043990963,"PC1","pca_qt6i0"
"3","Twos",-0.280171388602339,"PC1","pca_qt6i0"
"4","Threes",-0.217641630303218,"PC1","pca_qt6i0"
"5","Fours",-0.290796587279842,"PC1","pca_qt6i0"
"6","Sixes",-0.261006594849501,"PC1","pca_qt6i0"
"7","Total_runs",-0.300443288722408,"PC1","pca_qt6i0"
"8","Total_balls",-0.298991994381379,"PC1","pca_qt6i0"
"9","Dismissals",-0.278605498917807,"PC1","pca_qt6i0"
"10","Matches",-0.276414007631255,"PC1","pca_qt6i0"
"11","High_score",-0.264756413734566,"PC1","pca_qt6i0"
"12","Max_strike_rate",-0.131515494365642,"PC1","pca_qt6i0"
"13","Bat_avg",-0.218929394227466,"PC1","pca_qt6i0"
"14","Wining_balls",-0.285652150973436,"PC1","pca_qt6i0"
"15","Dots",0.117656409958691,"PC2","pca_qt6i0"
"16","Singles",0.139993321480091,"PC2","pca_qt6i0"
"17","Twos",0.13291732021403,"PC2","pca_qt6i0"
"18","Threes",0.255985058179141,"PC2","pca_qt6i0"
"19","Fours",0.0498587336707594,"PC2","pca_qt6i0"
"20","Sixes",-0.177611745436818,"PC2","pca_qt6i0"
"21","Total_runs",0.0384821121650035,"PC2","pca_qt6i0"
"22","Total_balls",0.120869051445823,"PC2","pca_qt6i0"
"23","Dismissals",-0.0576411090882963,"PC2","pca_qt6i0"
"24","Matches",-0.127372796583011,"PC2","pca_qt6i0"
"25","High_score",-0.0941051893401554,"PC2","pca_qt6i0"
"26","Max_strike_rate",-0.87974303408374,"PC2","pca_qt6i0"
"27","Bat_avg",-0.125315171769984,"PC2","pca_qt6i0"
"28","Wining_balls",0.123238132883585,"PC2","pca_qt6i0"
"29","Dots",-0.129737781105856,"PC3","pca_qt6i0"
"30","Singles",-0.0138664348510497,"PC3","pca_qt6i0"
"31","Twos",-0.0236809790362326,"PC3","pca_qt6i0"
"32","Threes",-0.060172774438785,"PC3","pca_qt6i0"
"33","Fours",-0.0133420958342799,"PC3","pca_qt6i0"
"34","Sixes",0.0156351110534598,"PC3","pca_qt6i0"
"35","Total_runs",-0.00419247573760164,"PC3","pca_qt6i0"
"36","Total_balls",-0.0422059264210825,"PC3","pca_qt6i0"
"37","Dismissals",-0.340460970706484,"PC3","pca_qt6i0"
"38","Matches",-0.328934181867257,"PC3","pca_qt6i0"
"39","High_score",0.410175574498348,"PC3","pca_qt6i0"
"40","Max_strike_rate",-0.129494692155771,"PC3","pca_qt6i0"
"41","Bat_avg",0.753118008224149,"PC3","pca_qt6i0"
"42","Wining_balls",0.0161837323117214,"PC3","pca_qt6i0"
"43","Dots",0.0717304575742138,"PC4","pca_qt6i0"
"44","Singles",0.024494206519285,"PC4","pca_qt6i0"
"45","Twos",-0.0532347529523011,"PC4","pca_qt6i0"
"46","Threes",-0.86951495787296,"PC4","pca_qt6i0"
"47","Fours",0.0484207869038421,"PC4","pca_qt6i0"
"48","Sixes",0.3013039438047,"PC4","pca_qt6i0"
"49","Total_runs",0.0783135489497471,"PC4","pca_qt6i0"
"50","Total_balls",0.0372459546052074,"PC4","pca_qt6i0"
"51","Dismissals",0.124382716366115,"PC4","pca_qt6i0"
"52","Matches",0.125609059644367,"PC4","pca_qt6i0"
"53","High_score",0.0168725966364471,"PC4","pca_qt6i0"
"54","Max_strike_rate",-0.313679977928852,"PC4","pca_qt6i0"
"55","Bat_avg",-0.0146999023020015,"PC4","pca_qt6i0"
"56","Wining_balls",0.0676096589439755,"PC4","pca_qt6i0"
"57","Dots",0.0927989064083643,"PC5","pca_qt6i0"
"58","Singles",0.189852700355263,"PC5","pca_qt6i0"
"59","Twos",0.203770426545106,"PC5","pca_qt6i0"
"60","Threes",-0.252799393448318,"PC5","pca_qt6i0"
"61","Fours",-0.0158241051947253,"PC5","pca_qt6i0"
"62","Sixes",-0.795716028534976,"PC5","pca_qt6i0"
"63","Total_runs",-0.157395646803718,"PC5","pca_qt6i0"
"64","Total_balls",0.0610340783342161,"PC5","pca_qt6i0"
"65","Dismissals",0.20270226196909,"PC5","pca_qt6i0"
"66","Matches",0.26882318293724,"PC5","pca_qt6i0"
"67","High_score",0.0455039981836887,"PC5","pca_qt6i0"
"68","Max_strike_rate",0.0522363434458019,"PC5","pca_qt6i0"
"69","Bat_avg",0.220840125846533,"PC5","pca_qt6i0"
"70","Wining_balls",-0.145181696671319,"PC5","pca_qt6i0"
"71","Dots",-0.152995786553048,"PC6","pca_qt6i0"
"72","Singles",0.252676359247869,"PC6","pca_qt6i0"
"73","Twos",0.522695118033424,"PC6","pca_qt6i0"
